job_title,job_company,job_location,job_link
Data Analyst,Falcon Autotech,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst
Data Analyst | Gurgaon*,BHP,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst
Data Analyst,Builder.ai,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst
Data Analyst,Acme Services,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst
Data Analyst,DecisionTree Analytics & Services,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst
Data Analyst - R&D,Maruti Suzuki India Limited,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst
Data Business Analyst - Team Lead,EPAM Systems,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-business-analyst-team-lead
Data Analyst,SaaS Labs,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst
"Senior Analyst- Data Platform (Full Time, Remote)",Hike,"Delhi, India",https://in.linkedin.com/jobs/view/senior-analyst-data-platform-full-time-remote
Data   Analyst,WinZO,"Delhi Cantonment, Delhi, India",https://in.linkedin.com/jobs/view/data-analyst
Data Analyst,STP Research,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst
BI Data Analyst,Taurus Contractors Pvt Ltd,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/bi-data-analyst
Senior Business Data Analyst,EPAM Systems,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/senior-business-data-analyst
Data Analyst,OnlineCounselling4U,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst
Data Analyst,Hewlett Packard Enterprise,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst
Senior Data Analyst,Blinkit,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/senior-data-analyst
Data Analyst Engineer,Thales,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst
MI Analyst,American Express Global Business Travel,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/mi-analyst
Data Analyst,Qrata,"Delhi, India",https://in.linkedin.com/jobs/view/data-analyst
Data Analyst,Collegedunia,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst
Data Analyst / BI Developer,Taurus Contractors Pvt Ltd,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-bi-developer
Data Analyst,Qrata,"Faridabad, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst
Master Data Management  & Data Analyst,Aarorn Technologies Inc,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/master-data-management-data-analyst
Sr. Data Analyst (Google Analytics)_Delhi_Hybrid,HT Digital Streams,"Delhi, India",https://in.linkedin.com/jobs/view/sr-data-analyst-google-analytics-delhi-hybrid
Data Analyst-Bangalore,ACURA SOLUTIONS LTD,"Delhi, India",https://in.linkedin.com/jobs/view/data-analyst-bangalore
